Year, San Marcial Combined Gauges, Watershed Input to Caballo, EB Storage, Caballo Storage, EB Surface Area, Caballo Storage Average, Caballo Surface Area, EB Pan Evap, Reservoir Evaporation, Reservoir Precipitation, Actual Caballo Gauge, Excess,Desired Caballo Gauge, Delta Storage, Full Allocation
2020,869000,102000,531872.65670574806,57420,14533.593488484301,43432.115784943235,3379.1836149115456,156,183521.77525742145,16718.591963169452,687324.15999999992,0,687324.15999999992,0,790000
2021,2020000,115000,1530080.7832919601,57420,29291.098785116908,43432.115784943235,3379.1836149115456,138,296095.66993381787,34303.796520029879,875000,0,875000,0,790000
2022,1140000,127000,1644703.6076414338,57420,31136.921781590914,43432.115784943235,3379.1836149115456,140,317358.33106814185,39981.155417615359,875000,0,875000,0,790000
2023,1750000,68800,1990000,57420,35907.272054581888,43432.115784943235,3379.1836149115456,136,350898.76474878151,24554.034793433399,875000,272158.87768608565,875000,0,790000
2024,1500000,81900,1990000,57420,35907.272054581888,43432.115784943235,3379.1836149115456,140,361219.31665315741,29464.841752120075,875000,375145.52509896271,875000,0,790000
2025,929000,179000,1940255.7080821944,57420,35361.048386030045,43432.115784943235,3379.1836149115456,136,346020.00418601016,63275.71226820461,875000,0,875000,0,790000
2026,806000,96800,1662799.5700022364,57420,31424.135098973493,43432.115784943235,3379.1836149115456,147,335999.06961055682,30742.931530598453,875000,0,875000,0,790000
2027,565000,134000,1256880.8451484013,57420,24973.699209766899,43432.115784943235,3379.1836149115456,142,264414.73229052749,34496.007436692104,875000,0,875000,0,790000
2028,962000,92600,1207636.6967817501,57420,24235.125073529241,43432.115784943235,3379.1836149115456,139,252086.19151275547,23242.04314610433,875000,0,875000,0,790000
2029,1260000,108000,1443809.0284811384,57420,27898.669913894111,43432.115784943235,3379.1836149115456,140,287584.22427060356,30756.555969992231,875000,0,875000,0,790000
2030,881000,137000,1344711.838959266,57420,26326.509370165542,43432.115784943235,3379.1836149115456,143,278981.75831167609,36884.568789804049,875000,0,875000,0,790000
2031,554000,158000,990028.52536274795,57420,21137.425618501646,43432.115784943235,3379.1836149115456,141,227028.091908022,35344.778311504015,875000,0,875000,0,790000
2032,725000,89700,740477.33627115726,57420,17721.621751582246,43432.115784943235,3379.1836149115456,149,206483.51347422748,17232.324382636598,875000,0,875000,0,790000
2033,1090000,108000,869616.11196245742,57420,19498.356466204496,43432.115784943235,3379.1836149115456,144,216357.47205513061,22496.247746430774,875000,0,875000,0,790000
2034,1390000,107000,1266703.5245113382,57420,25122.783778979567,43432.115784943235,3379.1836149115456,135,252702.00566016283,27789.418209043833,875000,0,875000,0,790000
2035,763000,87600,1030198.4676373464,57420,21691.817501967467,43432.115784943235,3379.1836149115456,141,232161.85776749509,20056.800893503208,875000,0,875000,0,790000
2036,1010000,112000,1058866.9265825513,57420,22091.47814803767,43432.115784943235,3379.1836149115456,146,244226.71384712667,25895.172792331698,875000,0,875000,0,790000
2037,1030000,77200,1064026.7532123032,57420,22163.809715862117,43432.115784943235,3379.1836149115456,146,244920.26870178978,17880.095331541565,875000,0,875000,0,790000
2038,1040000,98400,1099440.3451043935,57420,22663.830827590125,43432.115784943235,3379.1836149115456,147,251425.12110616069,23438.712998251503,875000,0,875000,0,790000
2039,594000,138000,795646.90868867096,57420,18488.809773315843,43432.115784943235,3379.1836149115456,147,211118.52846845955,27517.225013519463,852192.13296078239,0,852192.13296078239,0,790000
2040,1200000,129000,1039301.2623419999,57420,21818.324295385508,43432.115784943235,3379.1836149115456,145,239952.71814127007,29607.071794599036,875000,0,875000,0,790000
2041,1530000,118000,1526138.7452908684,57420,29227.284643300314,43432.115784943235,3379.1836149115456,150,321214.47042870958,35051.953377577745,875000,0,875000,0,790000
2042,1170000,113000,1629396.0593912499,57420,30892.662571332556,43432.115784943235,3379.1836149115456,151,339871.32824051887,35128.642340900209,875000,0,875000,0,790000
2043,1720000,102000,1990000,57420,35907.272054581888,43432.115784943235,3379.1836149115456,156,402501.52427066112,36339.971494281424,875000,220234.50661486993,875000,0,790000
2044,684000,137000,1635821.2138856458,57420,30995.319524400235,43432.115784943235,3379.1836149115456,152,343146.91503849381,42968.128924139732,875000,0,875000,0,790000
2045,396000,114000,1061028.9078022775,57420,22121.76979876605,43432.115784943235,3379.1836149115456,141,236143.29127750194,26350.985194133518,875000,0,875000,0,790000
2046,441000,75800,642423.25244253152,57420,16297.402124432061,43432.115784943235,3379.1836149115456,156,201592.52387529705,13609.638469712661,747422.76995416149,0,747422.76995416149,0,790000
2047,855000,61400,582602.18393873144,57420,15369.397068915196,43432.115784943235,3379.1836149115456,163,200704.02493488239,10467.957548469931,785985.00111738779,0,785985.00111738779,0,790000
2048,584000,111000,517167.53482715937,57420,14281.388492779588,43432.115784943235,3379.1836149115456,150,173978.71097589226,17807.743541921893,604263.68167760165,0,604263.68167760165,0,790000
2049,637000,129000,523074.61287567462,57420,14383.277594947018,43432.115784943235,3379.1836149115456,152,177315.54527353411,20870.891921583814,603648.26859953441,0,603648.26859953441,0,790000
2050,608000,130000,511893.99170429818,57420,14189.755196548969,43432.115784943235,3379.1836149115456,156,179999.0488050564,20789.91092689494,589971.48329321505,0,589971.48329321505,0,790000
2051,624000,83400,477932.65486832231,57420,13583.613006612368,43432.115784943235,3379.1836149115456,144,160420.56020907595,12863.454104655635,593804.23073155561,0,593804.23073155561,0,790000
2052,931000,137000,622257.33880305546,57420,15990.640532205534,43432.115784943235,3379.1836149115456,154,195905.43293273481,24212.28018389635,751982.16331642866,0,751982.16331642866,0,790000
2053,1130000,118000,798820.67069043056,57420,18532.46683597911,43432.115784943235,3379.1836149115456,153,220174.28943442329,23737.621321798208,875000,0,875000,0,790000
2054,1020000,107000,827885.65739478939,57420,18930.54804443473,43432.115784943235,3379.1836149115456,167,244687.00166350362,21751.988367862617,875000,0,875000,0,790000
2055,1990000,167000,1791644.1173942685,57420,33392.084926535477,43432.115784943235,3379.1836149115456,155,374317.72452622768,56076.184525706718,875000,0,875000,0,790000
2056,632000,110000,1384230.7714426937,57420,26948.513758518722,43432.115784943235,3379.1836149115456,153,304741.04332500504,30327.697373430266,875000,0,875000,0,790000
2057,960000,146000,1341241.3822507281,57420,26272.251264422746,43432.115784943235,3379.1836149115456,161,313524.63569774502,39535.246505779054,875000,0,875000,0,790000
2058,1240000,121000,1506736.3621750413,57420,28913.296711906081,43432.115784943235,3379.1836149115456,168,356295.85243790958,35790.832362222871,875000,0,875000,0,790000
2059,1950000,131000,1990000,57420,35907.272054581888,43432.115784943235,3379.1836149115456,154,397341.24831847317,46816.359672813014,875000,372211.47352938121,875000,0,790000
2060,867000,92600,1742754.6766150277,57420,32665.069748566209,43432.115784943235,3379.1836149115456,153,362182.56996589946,30337.246580927113,875000,0,875000,0,790000
2061,824000,89900,1470245.0322964578,57420,28323.929857330761,43432.115784943235,3379.1836149115456,162,337300.52032090118,25890.876002331217,875000,0,875000,0,790000
2062,1080000,157000,1544464.6915976144,57420,29523.942837595663,43432.115784943235,3379.1836149115456,155,334941.4886141037,47161.147915260335,875000,0,875000,0,790000
2063,1040000,178000,1598520.9646505951,57420,30397.133517285292,43432.115784943235,3379.1836149115456,155,343830.24228683923,54886.515339819867,875000,0,875000,0,790000
2064,732000,222000,1408862.5481419764,57420,27339.731567248713,43432.115784943235,3379.1836149115456,164,330864.21975249349,62205.803243874521,875000,0,875000,0,790000
2065,712000,162000,1155046.1388937114,57420,23462.733197704278,43432.115784943235,3379.1836149115456,166,292631.91918697837,39815.509938713469,875000,0,875000,0,790000
2066,1290000,115000,1419074.724881243,57420,27502.629165743248,43432.115784943235,3379.1836149115456,147,298139.96899231704,32168.554979848745,875000,0,875000,0,790000
2067,782000,174000,1258264.7216302496,57420,24994.668062278997,43432.115784943235,3379.1836149115456,154,286971.71717052133,45161.71391952828,875000,0,875000,0,790000
2068,934000,124000,1183888.5365805293,57420,23884.256008095079,43432.115784943235,3379.1836149115456,161,288274.74995579454,30898.564906074171,875000,0,875000,0,790000
2069,1400000,201000,1608525.0421778453,57420,30558.051291823984,43432.115784943235,3379.1836149115456,163,363298.94810747658,61935.453704792344,875000,0,875000,0,790000
2070,1250000,123000,1748520.0392101128,57420,32752.280896788863,43432.115784943235,3379.1836149115456,168,398652.90054339531,40647.897575662966,875000,0,875000,0,790000
